Track ID,Entry Time,Exit Time,Duration (seconds)
1,0,0.879999999999999,0.879999999999999
2,1.76,55.8,54.04
3,0,0.5600000000000023,0.5600000000000023
5,0,1.0,1.0
6,0,0.480000000000004,0.480000000000004
7,44.8,55.8,11.0
